category,kernels,venue,year,title,authors,platform,approach,confidence,cited_by,doi,dblp_url,oa_url,one_liner,artifact_status,artifact_url,artifact_stars,artifact_license,artifact_last_push
Compression kernels,fused decompression-GEMM; lossless decompression,ASPLOS,2026,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,Ruibo Fan; Xiangrui Yu; Xinglin Pan; Zeyu Li; Weile Luo; Qiang Wang 0022 et al.,nvidia-gpu,manual,high,0,10.1145/3779212.3790250,https://dblp.org/rec/conf/asplos/FanYPLLW0026,https://doi.org/10.1145/3779212.3790250,Tensor-core-aware lossless weight compression with fused decompress-GEMM kernel; 2.21x over cuBLAS,verified,https://github.com/xxyux/ZipServ,6,Apache-2.0,2026-03-09
Dense linear algebra,fused decompression-GEMM; lossless decompression,ASPLOS,2026,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,Ruibo Fan; Xiangrui Yu; Xinglin Pan; Zeyu Li; Weile Luo; Qiang Wang 0022 et al.,nvidia-gpu,manual,high,0,10.1145/3779212.3790250,https://dblp.org/rec/conf/asplos/FanYPLLW0026,https://doi.org/10.1145/3779212.3790250,Tensor-core-aware lossless weight compression with fused decompress-GEMM kernel; 2.21x over cuBLAS,verified,https://github.com/xxyux/ZipServ,6,Apache-2.0,2026-03-09
ML kernels (HPC-crossing),fused decompression-GEMM; lossless decompression,ASPLOS,2026,ZipServ: Fast and Memory-Efficient LLM Inference with Hardware-Aware Lossless Compression,Ruibo Fan; Xiangrui Yu; Xinglin Pan; Zeyu Li; Weile Luo; Qiang Wang 0022 et al.,nvidia-gpu,manual,high,0,10.1145/3779212.3790250,https://dblp.org/rec/conf/asplos/FanYPLLW0026,https://doi.org/10.1145/3779212.3790250,Tensor-core-aware lossless weight compression with fused decompress-GEMM kernel; 2.21x over cuBLAS,verified,https://github.com/xxyux/ZipServ,6,Apache-2.0,2026-03-09
Compression kernels,lossy compression; Tucker decomposition; randomized SVD,HPDC,2026,TZ: Achieving High-Ratio Scientific Data Compression on GPUs with Global Data Decomposition,Zhuoxun Yang; Ruoyu Li; Amit N. Subrahmanya; Vishwas Rao; Sheng Di; Robert Underwood et al.,nvidia-gpu,algorithmic,high,0,10.1145/3806645.3807811,https://dblp.org/rec/conf/hpdc/YangLSRDUZLCZ26,https://doi.org/10.1145/3806645.3807811,"GPU error-bounded lossy compressor via global Tucker decomposition, ~10x higher ratio",none,,0,,
Tensor algebra,lossy compression; Tucker decomposition; randomized SVD,HPDC,2026,TZ: Achieving High-Ratio Scientific Data Compression on GPUs with Global Data Decomposition,Zhuoxun Yang; Ruoyu Li; Amit N. Subrahmanya; Vishwas Rao; Sheng Di; Robert Underwood et al.,nvidia-gpu,algorithmic,high,0,10.1145/3806645.3807811,https://dblp.org/rec/conf/hpdc/YangLSRDUZLCZ26,https://doi.org/10.1145/3806645.3807811,"GPU error-bounded lossy compressor via global Tucker decomposition, ~10x higher ratio",none,,0,,
Dense linear algebra,lossy compression; Tucker decomposition; randomized SVD,HPDC,2026,TZ: Achieving High-Ratio Scientific Data Compression on GPUs with Global Data Decomposition,Zhuoxun Yang; Ruoyu Li; Amit N. Subrahmanya; Vishwas Rao; Sheng Di; Robert Underwood et al.,nvidia-gpu,algorithmic,high,0,10.1145/3806645.3807811,https://dblp.org/rec/conf/hpdc/YangLSRDUZLCZ26,https://doi.org/10.1145/3806645.3807811,"GPU error-bounded lossy compressor via global Tucker decomposition, ~10x higher ratio",none,,0,,
Compression kernels,lossy compression,ICS,2026,GPZ: GPU-Accelerated Lossy Compressor for Particle Data,Ruoyu Li; Yafan Huang; Longtao Zhang; Zhuoxun Yang; Sheng Di; Boyuan Zhang 0002 et al.,nvidia-gpu,manual,high,1,10.1145/3797905.3800524,https://dblp.org/rec/conf/ics/LiHZYDZHLTLSGCZ26,,"GPU error-bounded lossy compressor for particle data, up to 8x throughput over SOTA",none,,0,,
Compression kernels,lossless encoding; image compression pipeline,IPDPS,2026,Accelerating AI Compression through Lightweight Lossless Encoding and Pipelined Workflows,Boyuan Zhang 0002; Luanzheng Guo; Jiannan Tian; Jinyang Liu 0003; Daoce Wang; Chengming Zhang 0006 et al.,nvidia-gpu,manual,medium,0,10.1109/IPDPS65963.2026.00056,https://dblp.org/rec/conf/ipps/ZhangGTLWZFSSTT26,,AIZ: lightweight lossless encoding plus pipelined workflow speeds up AI-based image compression 3.1-9.6x,none,,0,,
Compression kernels,lossy compression; decompression,IPDPS,2026,Designing Domain-Specific Compilers for Lossy Compression: A Case Study on Wafer-Scale Engine,Shihui Song; Robert Underwood; Sheng Di; Peng Jiang 0004; Franck Cappello,other; cpu,codegen,high,0,10.1109/IPDPS65963.2026.00092,https://dblp.org/rec/conf/ipps/SongUDJC26,,"P3Z: domain-specific compiler generates lossy-compression kernels for Cerebras WSE, 1.24-1.5x over hand-written CSL.",none,,0,,
Compression kernels,lossy compression (quantization-aware interpolation),IPDPS,2026,Mitigating Artifacts in Pre-quantization Based Scientific Data Compressors with Quantization-aware Interpolation,Pu Jiao; Sheng Di; Jiannan Tian; Mingze Xia; Xuan Wu; Yang Zhang et al.,cpu; distributed,algorithmic,high,0,10.1109/IPDPS65963.2026.00024,https://dblp.org/rec/conf/ipps/JiaoDTXWZLC26,,Quantization-aware interpolation fixes artifacts in pre-quantization lossy compressors while keeping high throughput.,none,,0,,
Compression kernels,KV-cache compression; quantization,IPDPS,2026,Near-Zero Cost KV Cache Compression for Large Language Model Inference,Boyuan Zhang 0002; Ding Zhou; Yafan Huang; Shihui Song; Hao Feng; Jinda Jia et al.,nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00058,https://dblp.org/rec/conf/ipps/ZhangZHSFJZZ26,,"Vayne: unified GPU kernel fusing quantization and lossless encoding for KV-cache, 8.4x speedup over baseline.",none,,0,,
ML kernels (HPC-crossing),KV-cache compression; quantization,IPDPS,2026,Near-Zero Cost KV Cache Compression for Large Language Model Inference,Boyuan Zhang 0002; Ding Zhou; Yafan Huang; Shihui Song; Hao Feng; Jinda Jia et al.,nvidia-gpu,manual,high,0,10.1109/IPDPS65963.2026.00058,https://dblp.org/rec/conf/ipps/ZhangZHSFJZZ26,,"Vayne: unified GPU kernel fusing quantization and lossless encoding for KV-cache, 8.4x speedup over baseline.",none,,0,,
Compression kernels,KV-cache lossy compression; GEMV,IPDPS,2026,PackKV: Reducing KV Cache Memory Footprint through LLM-Aware Lossy Compression,Bo Jiang; Taolue Yang; Youyuan Liu; Xubin He; Sheng Di; Sian Jin,nvidia-gpu,manual,medium,0,10.1109/IPDPS65963.2026.00057,https://dblp.org/rec/conf/ipps/JiangYLHDJ26,,LLM-aware lossy KV-cache compression that also accelerates matrix-vector multiply vs cuBLAS,verified,https://github.com/BoJiang03/PackKV,8,MIT,2026-01-30
