venue,year,title,categories,kernels,platform,approach,confidence,cited_by,doi,one_liner,artifact_status,artifact_url,artifact_stars
ASPLOS,2026,An MLIR Lowering Pipeline for Stencils at Wafer-Scale,stencil_pde,stencil,other,codegen,high,0,10.1145/3779212.3790124,MLIR lowering pipeline auto-generating stencil code for the 900k-core Cerebras Wafer-Scale Engine.,none,,0
ASPLOS,2026,Cheddar: A Swift Fully Homomorphic Encryption Library Designed for GPU Architectures,fft_spectral,NTT; FHE homomorphic ops,nvidia-gpu,library,high,2,10.1145/3760250.3762223,"32-bit GPU FHE library with architecture-tuned, fused NTT/CKKS kernels; 2.18-4.45x over prior GPU FHE.",verified,https://github.com/scale-snu/cheddar-fhe,94
ASPLOS,2026,Dynamic Sparsity in Large-Scale Video DiT Training,ml_kernels,sparse attention,nvidia-gpu; distributed,algorithmic,low,0,10.1145/3760250.3762216,"Exploits dynamic attention sparsity in large-scale video DiT training; abstract truncated, kernel detail unclear.",none,,0
ASPLOS,2026,I/O Analysis is All You Need: An I/O Analysis for Long-Sequence Attention,ml_kernels; dense_la,attention; tall-skinny GEMM; softmax,nvidia-gpu,algorithmic,high,1,10.1145/3779212.3790174,I/O-optimal tiling and overlap for exact long-sequence attention; 1.6-8.8x over SOTA attention kernels.,none,,0
ASPLOS,2026,Insum: Sparse GPU Kernels Simplified and Optimized with Indirect Einsums,sparse_la; tensor,SpMM; SDDMM; sparse einsum,nvidia-gpu,codegen,high,0,10.1145/3779212.3790176,Indirect-Einsum compiler plus GroupCOO formats generating tensor-core sparse GPU kernels; 1.14-3.81x speedups.,verified,https://github.com/nullplay/IndirectEinsum,14
ASPLOS,2026,LOOPRAG: Enhancing Loop Transformation Optimization with Retrieval-Augmented Large Language Models,dense_la; stencil_pde,PolyBench kernels; TSVC loops,cpu,codegen,medium,1,10.1145/3779212.3790183,RAG-guided LLM loop-transformation optimizer; up to 14x over Polly/Graphite-class compilers on PolyBench/TSVC.,none,,0
ASPLOS,2026,Linear Layouts: Robust Code Generation of Efficient Tensor Computation Using F_2,ml_kernels; tensor; dense_la,Triton operators; GEMM; layout conversion,nvidia-gpu,codegen,high,2,10.1145/3760250.3762221,"F2 linear-algebra tensor layouts in Triton enabling robust, efficient GPU kernel codegen and layout conversion.",none,,0
ASPLOS,2026,Maverick: Rethinking TFHE Bootstrapping on GPUs via Algorithm-Hardware Co-Design,fft_spectral,TFHE bootstrapping; NTT,nvidia-gpu,manual,low,0,10.1145/3779212.3790186,"TFHE bootstrapping on GPUs via algorithm-hardware co-design; truncated abstract, may include HW proposals.",none,,0
ASPLOS,2026,PAT: Accelerating LLM Decoding via Prefix-Aware Attention with Resource Efficient Multi-Tile Kernel,ml_kernels,decode attention,nvidia-gpu,manual,high,0,10.1145/3779212.3790200,Prefix-aware multi-tile GPU decode-attention kernel exploiting hierarchical shared-prefix KV reuse.,verified,https://github.com/flashserve/PAT,41
ASPLOS,2026,RedFuser: An Automatic Operator Fusion Framework for Cascaded Reductions on AI Accelerators,ml_kernels; dense_la; primitives,fused softmax+GEMM; attention; cascaded reductions,other,codegen,medium,0,10.1145/3779212.3790209,Automatic fusion of cascaded reductions (e.g. softmax+GEMM) into single kernels; 2-5x over AI compilers.,verified,https://github.com/alibaba/redfuser,21
